,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,robot,robot,robot,robot,robot,robot,robot
,u,u_dir,A,B,C,u,u_dir,A,B,C,u,u_dir,A,B,C,u,u_dir,A,B,C,u1,u1_dir,u2,u2_dir,x,y,z
0,0.0,True,"Coordinate({'z': 0, 'y': 0.09254551809954147, 'x': -0.08468281925077617})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.0390869083517748, 'y': 0.06504426204612689, 'x': -0.05350247936327722})",0.0,False,"Coordinate({'z': 0, 'y': 0.09249743587544097, 'x': 0.0046828192507761615})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.049215989226063094, 'y': 0.06502022093407664, 'x': 0.013502479363277215})",0.0,False,"Coordinate({'z': 0, 'y': 0.09249743587544097, 'x': 0.0046828192507761615})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.049215989226063094, 'y': 0.06502022093407664, 'x': 0.013502479363277215})",0.0,True,"Coordinate({'z': 0, 'y': 0.09254551809954147, 'x': -0.08468281925077617})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.0390869083517748, 'y': 0.06504426204612689, 'x': -0.05350247936327722})",0.0,1.0,0.0,0.0,-0.013502479363277215,0.0,0.0
1,0.0018237885408480066,True,"Coordinate({'z': 0, 'y': 0.09441028654987037, 'x': -0.08285903070992816})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.039797251160427864, 'y': 0.06597664627129134, 'x': -0.05259058509285321})",-0.0018237885408480066,False,"Coordinate({'z': 0, 'y': 0.09436989942865973, 'x': 0.0028590307099281564})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04904382580195159, 'y': 0.06595645271068601, 'x': 0.012590585092853213})",-0.0018237885408480066,False,"Coordinate({'z': 0, 'y': 0.09436989942865973, 'x': 0.0028590307099281564})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04904382580195159, 'y': 0.06595645271068601, 'x': 0.012590585092853213})",0.0018237885408480066,True,"Coordinate({'z': 0, 'y': 0.09441028654987037, 'x': -0.08285903070992816})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.039797251160427864, 'y': 0.06597664627129134, 'x': -0.05259058509285321})",0.0018237885408480066,1.0,-0.0018237885408480066,0.0,-0.012590585092853213,0.0,0.0
2,0.003647577081696013,True,"Coordinate({'z': 0, 'y': 0.09598688389608027, 'x': -0.08103524216908015})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.040474595650005545, 'y': 0.06676494494439629, 'x': -0.05167869082242921})",-0.003647577081696013,False,"Coordinate({'z': 0, 'y': 0.09595256250404877, 'x': 0.0010352421690801514})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.048854037711979575, 'y': 0.06674778424838054, 'x': 0.01167869082242921})",-0.003647577081696013,False,"Coordinate({'z': 0, 'y': 0.09595256250404877, 'x': 0.0010352421690801514})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.048854037711979575, 'y': 0.06674778424838054, 'x': 0.01167869082242921})",0.003647577081696013,True,"Coordinate({'z': 0, 'y': 0.09598688389608027, 'x': -0.08103524216908015})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.040474595650005545, 'y': 0.06676494494439629, 'x': -0.05167869082242921})",0.003647577081696013,1.0,-0.003647577081696013,0.0,-0.01167869082242921,0.0,0.0
3,0.0054713656225440195,True,"Coordinate({'z': 0, 'y': 0.09733031084361526, 'x': -0.07921145362823215})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04112057251323056, 'y': 0.06743665841816379, 'x': -0.05076679655200521})",-0.0054713656225440195,False,"Coordinate({'z': 0, 'y': 0.09730101597299701, 'x': -0.0007885463717678606})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.048646418675109146, 'y': 0.06742201098285466, 'x': 0.010766796552005204})",-0.0054713656225440195,False,"Coordinate({'z': 0, 'y': 0.09730101597299701, 'x': -0.0007885463717678606})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.048646418675109146, 'y': 0.06742201098285466, 'x': 0.010766796552005204})",0.0054713656225440195,True,"Coordinate({'z': 0, 'y': 0.09733031084361526, 'x': -0.07921145362823215})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04112057251323056, 'y': 0.06743665841816379, 'x': -0.05076679655200521})",0.0054713656225440195,1.0,-0.0054713656225440195,0.0,-0.010766796552005204,0.0,0.0
4,0.007295154163392026,True,"Coordinate({'z': 0, 'y': 0.09847679886351696, 'x': -0.07738766508738414})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04173663824841904, 'y': 0.06800990242811464, 'x': -0.0498549022815812})",-0.007295154163392026,False,"Coordinate({'z': 0, 'y': 0.09845182439395042, 'x': -0.0026123349126158657})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04842073932462855, 'y': 0.06799741519333136, 'x': 0.009854902281581202})",-0.007295154163392026,False,"Coordinate({'z': 0, 'y': 0.09845182439395042, 'x': -0.0026123349126158657})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04842073932462855, 'y': 0.06799741519333136, 'x': 0.009854902281581202})",0.007295154163392026,True,"Coordinate({'z': 0, 'y': 0.09847679886351696, 'x': -0.07738766508738414})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04173663824841904, 'y': 0.06800990242811464, 'x': -0.0498549022815812})",0.007295154163392026,1.0,-0.007295154163392026,0.0,-0.009854902281581202,0.0,0.0
5,0.009118942704240032,True,"Coordinate({'z': 0, 'y': 0.09945151248424954, 'x': -0.07556387654653612})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04232409902670195, 'y': 0.06849725923848092, 'x': -0.048943008011157196})",-0.009118942704240032,False,"Coordinate({'z': 0, 'y': 0.09943035772713392, 'x': -0.004436123453463871})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.048176745855779704, 'y': 0.06848668185992311, 'x': 0.008943008011157199})",-0.009118942704240032,False,"Coordinate({'z': 0, 'y': 0.09943035772713392, 'x': -0.004436123453463871})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.048176745855779704, 'y': 0.06848668185992311, 'x': 0.008943008011157199})",0.009118942704240032,True,"Coordinate({'z': 0, 'y': 0.09945151248424954, 'x': -0.07556387654653612})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04232409902670195, 'y': 0.06849725923848092, 'x': -0.048943008011157196})",0.009118942704240032,1.0,-0.009118942704240032,0.0,-0.008943008011157199,0.0,0.0
6,0.010942731245088039,True,"Coordinate({'z': 0, 'y': 0.10027255755651195, 'x': -0.07374008800568813})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.042884130424247685, 'y': 0.06890778177461213, 'x': -0.0480311137407332})",-0.010942731245088039,False,"Coordinate({'z': 0, 'y': 0.10025485744146809, 'x': -0.006259911994311876})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04791415848619571, 'y': 0.06889893171709019, 'x': 0.008031113740733196})",-0.010942731245088039,False,"Coordinate({'z': 0, 'y': 0.10025485744146809, 'x': -0.006259911994311876})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04791415848619571, 'y': 0.06889893171709019, 'x': 0.008031113740733196})",0.010942731245088039,True,"Coordinate({'z': 0, 'y': 0.10027255755651195, 'x': -0.07374008800568813})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.042884130424247685, 'y': 0.06890778177461213, 'x': -0.0480311137407332})",0.010942731245088039,1.0,-0.010942731245088039,0.0,-0.008031113740733196,0.0,0.0
7,0.012766519785936046,True,"Coordinate({'z': 0, 'y': 0.10095325000740003, 'x': -0.07191629946484013})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04341779386086809, 'y': 0.06924812800005617, 'x': -0.0471192194703092})",-0.012766519785936046,False,"Coordinate({'z': 0, 'y': 0.10093873413084323, 'x': -0.008083700535159881})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04763266970585744, 'y': 0.06924087006177776, 'x': 0.007119219470309194})",-0.012766519785936046,False,"Coordinate({'z': 0, 'y': 0.10093873413084323, 'x': -0.008083700535159881})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04763266970585744, 'y': 0.06924087006177776, 'x': 0.007119219470309194})",0.012766519785936046,True,"Coordinate({'z': 0, 'y': 0.10095325000740003, 'x': -0.07191629946484013})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04341779386086809, 'y': 0.06924812800005617, 'x': -0.0471192194703092})",0.012766519785936046,1.0,-0.012766519785936046,0.0,-0.007119219470309194,0.0,0.0
8,0.014590308326784053,True,"Coordinate({'z': 0, 'y': 0.10150348080526016, 'x': -0.0700925109239921})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04392605039068411, 'y': 0.06952324339898623, 'x': -0.046207325199885185})",-0.014590308326784053,False,"Coordinate({'z': 0, 'y': 0.1014919481541382, 'x': -0.009907489076007893})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04733194228904486, 'y': 0.06951747707342526, 'x': 0.006207325199885188})",-0.014590308326784053,False,"Coordinate({'z': 0, 'y': 0.1014919481541382, 'x': -0.009907489076007893})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04733194228904486, 'y': 0.06951747707342526, 'x': 0.006207325199885188})",0.014590308326784053,True,"Coordinate({'z': 0, 'y': 0.10150348080526016, 'x': -0.0700925109239921})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04392605039068411, 'y': 0.06952324339898623, 'x': -0.046207325199885185})",0.014590308326784053,1.0,-0.014590308326784053,0.0,-0.006207325199885188,0.0,0.0
